Season,Team,Date,Venue,xG,xGA,npxG,npxGA,PPDA,PPDA_Allowed,DeepCompletions,DeepCompletionsAllowed,GoalsScored,GoalsConceded,Result,Points,ExpectedPoints
2023,Aston Villa,2023-08-12 16:30:00,Away,1.486,4.32208,1.486,4.32208,11.571428571428571,15.0,6,9,1,5,l,0,0.1709
2023,Aston Villa,2023-08-20 13:00:00,Home,3.24336,0.721465,2.48219,0.721465,17.0,16.73913043478261,13,2,4,0,w,3,2.8068999999999997
2023,Aston Villa,2023-08-27 13:00:00,Away,2.83691,0.630605,2.83691,0.630605,24.333333333333332,8.193548387096774,9,8,3,1,w,3,2.7695000000000003
2023,Aston Villa,2023-09-03 13:00:00,Away,0.615503,2.73138,0.615503,2.73138,67.875,8.551724137931034,3,11,0,3,l,0,0.1952
2023,Aston Villa,2023-09-16 14:00:00,Home,2.31518,1.11696,1.55401,1.11696,4.548387096774194,9.533333333333333,14,7,3,1,w,3,2.2635
2023,Aston Villa,2023-09-24 13:00:00,Away,1.13479,1.19716,1.13479,1.19716,21.76923076923077,8.84,6,8,1,0,w,3,1.2832000000000001
2023,Aston Villa,2023-09-30 11:30:00,Home,1.90746,1.72819,1.90746,1.72819,9.727272727272727,4.294117647058823,15,11,6,1,w,3,1.4983
2023,Aston Villa,2023-10-08 13:00:00,Away,1.81618,1.76232,1.81618,1.76232,14.866666666666667,11.380952380952381,9,3,1,1,d,1,1.3806000000000003
2023,Aston Villa,2023-10-22 15:30:00,Home,2.34143,0.659622,1.58026,0.659622,11.823529411764707,14.421052631578947,9,4,4,1,w,3,2.5745999999999998
2023,Aston Villa,2023-10-29 14:00:00,Home,3.07654,0.453117,3.07654,0.453117,13.4,24.647058823529413,15,2,3,1,w,3,2.8714
2023,Aston Villa,2023-11-05 14:00:00,Away,1.33116,0.592447,1.33116,0.592447,7.2105263157894735,27.166666666666668,23,3,0,2,l,0,1.9666000000000001
2023,Aston Villa,2023-11-12 14:00:00,Home,2.86039,0.648745,2.86039,0.648745,16.444444444444443,9.457142857142857,8,2,3,1,w,3,2.8323
2023,Aston Villa,2023-11-26 14:00:00,Away,2.39755,2.22542,2.39755,2.22542,18.6,9.375,5,18,2,1,w,3,1.5025
2023,Aston Villa,2023-12-03 14:00:00,Away,0.89511,2.54937,0.89511,2.54937,4.75,7.735294117647059,3,10,2,2,d,1,0.3336
2023,Aston Villa,2023-12-06 20:15:00,Home,2.1922,1.00198,2.1922,1.00198,13.73913043478261,9.035714285714286,9,8,1,0,w,3,2.289
2023,Aston Villa,2023-12-09 17:30:00,Home,0.628499,1.71667,0.628499,1.71667,9.620689655172415,5.346153846153846,3,10,1,0,w,3,0.5097
2023,Aston Villa,2023-12-17 14:00:00,Away,1.4664,0.796812,1.4664,0.796812,6.333333333333333,5.205128205128205,13,4,2,1,w,3,1.9046000000000003
2023,Aston Villa,2023-12-22 20:00:00,Home,1.21861,0.646159,1.21861,0.646159,4.333333333333333,15.636363636363637,10,2,1,1,d,1,1.8315
2023,Aston Villa,2023-12-26 20:00:00,Away,1.83637,1.20104,1.83637,1.20104,15.214285714285714,7.444444444444445,12,4,2,3,l,0,1.8899
2023,Aston Villa,2023-12-30 15:00:00,Home,2.92587,1.11923,2.1647,1.11923,8.333333333333334,19.071428571428573,16,2,3,2,w,3,2.5507999999999997
2023,Aston Villa,2024-01-14 14:00:00,Away,1.3435,1.03664,1.3435,1.03664,7.923076923076923,8.944444444444445,12,3,0,0,d,1,1.5753
2023,Aston Villa,2024-01-30 20:15:00,Home,1.44485,3.3224,1.44485,3.3224,9.347826086956522,11.0,12,10,1,3,l,0,0.34690000000000004
2023,Aston Villa,2024-02-03 17:30:00,Away,2.99015,1.52784,2.99015,1.52784,13.714285714285714,24.42105263157895,5,7,5,0,w,3,2.3755
2023,Aston Villa,2024-02-11 16:30:00,Home,2.64675,2.44591,2.64675,2.44591,11.85,11.75,10,4,1,2,l,0,1.5356999999999998
2023,Aston Villa,2024-02-17 15:00:00,Away,1.57297,1.41796,1.57297,1.41796,25.09090909090909,12.590909090909092,2,9,2,1,w,3,1.4988000000000001
2023,Aston Villa,2024-02-24 15:00:00,Home,3.48861,2.25569,3.48861,2.25569,15.266666666666667,13.12,16,7,4,2,w,3,2.1908
2023,Aston Villa,2024-03-02 17:30:00,Away,2.08586,2.43312,2.08586,2.43312,11.2,13.666666666666666,6,3,3,2,w,3,1.1108
2023,Aston Villa,2024-03-10 13:00:00,Home,1.23267,2.25381,1.23267,2.25381,20.772727272727273,4.255813953488372,3,9,0,4,l,0,0.6402
2023,Aston Villa,2024-03-17 14:00:00,Away,0.911274,1.32829,0.911274,1.32829,6.7894736842105265,11.851851851851851,17,7,1,1,d,1,1.0156
2023,Aston Villa,2024-03-30 17:30:00,Home,1.28271,1.66232,1.28271,1.66232,14.15,7.666666666666667,5,5,2,0,w,3,1.0626
2023,Aston Villa,2024-04-03 19:15:00,Away,1.18643,3.87704,1.18643,3.87704,21.785714285714285,7.166666666666667,4,26,1,4,l,0,0.18660000000000002
2023,Aston Villa,2024-04-06 14:00:00,Home,1.16333,1.42064,1.16333,1.42064,6.7368421052631575,16.5,6,3,3,3,d,1,1.0891
2023,Aston Villa,2024-04-14 15:30:00,Away,0.929049,1.89003,0.929049,1.89003,15.285714285714286,8.892857142857142,2,17,2,0,w,3,0.6572
2023,Aston Villa,2024-04-21 14:00:00,Home,2.62687,2.05211,2.62687,1.29094,12.25,12.15,19,2,3,1,w,3,1.8087
2023,Aston Villa,2024-04-27 19:00:00,Home,0.612257,1.56401,0.612257,1.56401,40.77777777777778,4.806451612903226,7,6,2,2,d,1,0.6084
2023,Aston Villa,2024-05-05 13:00:00,Away,0.0644055,2.63566,0.0644055,1.75337,17.57894736842105,10.551724137931034,3,4,0,1,l,0,0.0263
2023,Aston Villa,2024-05-13 19:00:00,Home,2.71655,1.89968,2.71655,1.89968,14.875,7.375,14,7,3,3,d,1,1.951
2023,Aston Villa,2024-05-19 15:00:00,Away,0.598846,2.23189,0.598846,2.23189,30.3,14.478260869565217,0,11,0,5,l,0,0.3245
2023,Everton,2023-08-12 14:00:00,Home,2.59001,1.58144,2.59001,1.58144,14.826086956521738,17.4,7,6,0,1,l,0,2.1102
2023,Everton,2023-08-20 13:00:00,Away,0.721465,3.24336,0.721465,2.48219,16.73913043478261,17.0,2,13,0,4,l,0,0.1276
2023,Everton,2023-08-26 14:00:00,Home,1.89792,1.40228,1.89792,1.40228,13.041666666666666,10.210526315789474,7,4,0,1,l,0,1.7305000000000001
2023,Everton,2023-09-02 11:30:00,Away,2.73871,1.575,2.73871,1.575,8.653846153846153,12.8,3,5,2,2,d,1,2.2155
2023,Everton,2023-09-17 15:30:00,Home,0.28317,0.802605,0.28317,0.802605,23.764705882352942,7.0,3,10,0,1,l,0,0.75
2023,Everton,2023-09-23 16:30:00,Away,2.51497,1.57402,2.51497,1.57402,14.36,14.0,10,6,3,1,w,3,2.0396
2023,Everton,2023-09-30 14:00:00,Home,3.65377,1.5102,3.65377,1.5102,5.6,12.5,11,1,1,2,l,0,2.6572
2023,Everton,2023-10-07 14:00:00,Home,3.16482,0.981732,3.16482,0.981732,7.147058823529412,8.681818181818182,8,13,3,0,w,3,2.7104
2023,Everton,2023-10-21 11:30:00,Away,0.0937725,2.28568,0.0937725,1.52459,29.153846153846153,3.3461538461538463,5,13,0,2,l,0,0.0748
2023,Everton,2023-10-29 13:00:00,Away,0.733813,0.618578,0.733813,0.618578,15.076923076923077,12.9375,3,5,1,0,w,3,1.4357
2023,Everton,2023-11-04 15:00:00,Home,0.617607,0.442489,0.617607,0.442489,41.07692307692308,9.333333333333334,0,11,1,1,d,1,1.4921
2023,Everton,2023-11-11 15:00:00,Away,1.7904,1.89194,1.7904,1.13077,14.48,6.2,8,10,3,2,w,3,1.2817
2023,Everton,2023-11-26 16:30:00,Home,2.49764,2.07334,2.49764,1.31218,10.458333333333334,13.75,10,6,0,3,l,0,1.6502
2023,Everton,2023-12-02 17:30:00,Away,0.623789,0.673085,0.623789,0.673085,13.0,9.0625,7,6,1,0,w,3,1.2589
2023,Everton,2023-12-07 19:30:00,Home,2.95393,1.29564,2.95393,1.29564,9.0,12.083333333333334,13,4,3,0,w,3,2.4166
2023,Everton,2023-12-10 14:00:00,Home,1.11437,0.885512,1.11437,0.885512,14.535714285714286,4.48,3,9,2,0,w,3,1.6020999999999999
2023,Everton,2023-12-16 17:30:00,Away,2.22305,0.811435,2.22305,0.811435,22.928571428571427,12.285714285714286,7,10,2,0,w,3,2.4318
2023,Everton,2023-12-23 15:00:00,Away,1.98385,1.57527,1.98385,1.57527,8.636363636363637,7.681818181818182,11,10,1,2,l,0,1.6655
2023,Everton,2023-12-27 20:15:00,Home,1.23529,2.28321,1.23529,1.52204,22.130434782608695,11.76923076923077,3,9,1,3,l,0,0.6325000000000001
2023,Everton,2023-12-30 15:00:00,Away,0.519641,2.64477,0.519641,2.64477,8.25,10.818181818181818,3,10,0,3,l,0,0.1132
2023,Everton,2024-01-14 14:00:00,Home,1.03664,1.3435,1.03664,1.3435,8.944444444444445,7.923076923076923,3,12,0,0,d,1,1.1201999999999999
2023,Everton,2024-01-30 19:45:00,Away,2.83317,2.37499,2.83317,2.37499,11.633333333333333,11.9,6,6,0,0,d,1,1.6492
2023,Everton,2024-02-03 12:30:00,Home,3.25881,0.922371,3.25881,0.922371,8.242424242424242,5.739130434782608,6,7,2,2,d,1,2.8588
2023,Everton,2024-02-10 12:30:00,Away,0.192072,1.58971,0.192072,1.58971,25.823529411764707,8.380952380952381,1,10,0,2,l,0,0.2969
2023,Everton,2024-02-19 20:00:00,Home,2.44588,0.734685,2.44588,0.734685,5.666666666666667,21.0,7,5,1,1,d,1,2.5576000000000003
2023,Everton,2024-02-24 15:00:00,Away,0.286655,1.6538,0.286655,1.6538,17.0,8.222222222222221,4,9,1,1,d,1,0.357
2023,Everton,2024-03-02 15:00:00,Home,3.12075,2.17948,2.35958,2.17948,10.68421052631579,21.357142857142858,9,4,1,3,l,0,2.0165
2023,Everton,2024-03-09 12:30:00,Away,1.8214,2.9016,1.8214,1.37927,15.4,15.428571428571429,13,7,0,2,l,0,0.6622999999999999
2023,Everton,2024-03-30 15:00:00,Away,0.93378,1.39268,0.93378,1.39268,8.578947368421053,6.590909090909091,11,6,1,2,l,0,0.9117999999999999
2023,Everton,2024-04-02 18:30:00,Away,1.69834,2.65009,0.937167,2.65009,14.25,10.764705882352942,6,11,1,1,d,1,0.736
2023,Everton,2024-04-06 14:00:00,Home,0.659844,0.34699,0.659844,0.34699,8.971428571428572,7.157894736842105,9,6,1,0,w,3,1.5979999999999999
2023,Everton,2024-04-15 19:00:00,Away,1.21791,3.37093,1.21791,2.60976,10.368421052631579,13.785714285714286,5,8,0,6,l,0,0.1517
2023,Everton,2024-04-21 12:30:00,Home,0.473233,1.18916,0.473233,1.18916,15.636363636363637,15.428571428571429,0,7,2,0,w,3,0.6283000000000001
2023,Everton,2024-04-24 19:00:00,Home,1.89111,1.87155,1.89111,1.87155,21.055555555555557,4.523809523809524,6,24,2,0,w,3,1.4035
2023,Everton,2024-04-27 16:30:00,Home,1.21399,0.956356,1.21399,0.956356,16.6,8.217391304347826,10,8,1,0,w,3,1.5496999999999999
2023,Everton,2024-05-03 19:00:00,Away,1.22959,0.950391,0.468416,0.950391,7.625,10.772727272727273,5,3,1,1,d,1,1.6331
2023,Everton,2024-05-11 14:00:00,Home,1.82411,0.465523,1.82411,0.465523,10.285714285714286,14.235294117647058,9,4,1,0,w,3,2.4696
2023,Everton,2024-05-19 15:00:00,Away,0.664904,3.2117,0.664904,3.2117,42.333333333333336,8.166666666666666,3,16,1,2,l,0,0.1057
2023,Bournemouth,2023-08-12 14:00:00,Home,1.51025,1.4834,1.51025,1.4834,5.111111111111111,9.733333333333333,9,8,1,1,d,1,1.3845999999999998
2023,Bournemouth,2023-08-19 14:00:00,Away,1.3867,3.25448,1.3867,2.33406,11.125,7.260869565217392,8,11,1,3,l,0,0.3288
2023,Bournemouth,2023-08-26 11:30:00,Home,0.483582,2.26115,0.483582,2.26115,10.193548387096774,7.6923076923076925,6,20,0,2,l,0,0.26039999999999996
2023,Bournemouth,2023-09-02 14:00:00,Away,2.11013,3.07185,2.11013,3.07185,14.0,5.708333333333333,5,15,2,2,d,1,0.7923
2023,Bournemouth,2023-09-17 13:00:00,Home,1.32515,1.39677,1.32515,1.39677,16.333333333333332,5.714285714285714,9,17,0,0,d,1,1.3224
2023,Bournemouth,2023-09-24 13:00:00,Away,1.58984,2.14533,1.58984,2.14533,10.057142857142857,5.571428571428571,4,8,1,3,l,0,0.9499
2023,Bournemouth,2023-09-30 14:00:00,Home,0.644443,4.0742,0.644443,2.55187,15.0,5.964285714285714,13,15,0,4,l,0,0.0368
2023,Bournemouth,2023-10-07 14:00:00,Away,0.981732,3.16482,0.981732,3.16482,8.681818181818182,7.147058823529412,13,8,0,3,l,0,0.1958
2023,Bournemouth,2023-10-21 14:00:00,Home,1.01839,2.30454,1.01839,2.30454,14.19047619047619,6.476190476190476,5,15,1,2,l,0,0.506
2023,Bournemouth,2023-10-28 14:00:00,Home,1.10052,0.90255,1.10052,0.90255,9.3,11.333333333333334,8,4,2,1,w,3,1.4745
2023,Bournemouth,2023-11-04 15:00:00,Away,0.643127,2.39949,0.643127,2.39949,29.076923076923077,21.5,6,18,1,6,l,0,0.3185
2023,Bournemouth,2023-11-11 17:30:00,Home,2.78424,0.306141,2.78424,0.306141,9.555555555555555,23.1,7,3,2,0,w,3,2.8638999999999997
2023,Bournemouth,2023-11-25 15:00:00,Away,3.13975,0.816227,3.13975,0.816227,17.545454545454547,10.576923076923077,7,7,3,1,w,3,2.6885000000000003
2023,Bournemouth,2023-12-03 14:00:00,Home,2.54937,0.89511,2.54937,0.89511,7.735294117647059,4.75,10,3,2,2,d,1,2.5224
2023,Bournemouth,2023-12-06 19:30:00,Away,1.79997,1.26441,1.79997,1.26441,9.419354838709678,7.565217391304348,7,9,2,0,w,3,1.8231
2023,Bournemouth,2023-12-09 15:00:00,Away,1.9742,1.11296,1.9742,1.11296,13.916666666666666,6.409090909090909,6,15,3,0,w,3,2.0899
2023,Bournemouth,2023-12-23 15:00:00,Away,1.89067,0.791806,1.89067,0.791806,3.923076923076923,12.842105263157896,7,4,3,2,w,3,2.1945
2023,Bournemouth,2023-12-26 15:00:00,Home,2.07911,0.324365,1.31795,0.324365,10.964285714285714,8.206896551724139,9,9,3,0,w,3,2.6859
2023,Bournemouth,2023-12-31 14:00:00,Away,1.58229,2.15027,1.58229,2.15027,5.95,10.65,15,13,1,3,l,0,0.9894999999999999
2023,Bournemouth,2024-01-21 16:30:00,Home,0.834585,1.53344,0.834585,1.53344,10.035714285714286,4.806451612903226,10,15,0,4,l,0,0.7769999999999999
2023,Bournemouth,2024-02-01 19:30:00,Away,1.13487,1.3128,1.13487,0.551632,8.096774193548388,9.391304347826088,5,2,1,1,d,1,1.1286
2023,Bournemouth,2024-02-04 14:00:00,Home,1.1895,0.456548,1.1895,0.456548,6.181818181818182,7.05,4,6,1,1,d,1,2.182
2023,Bournemouth,2024-02-10 15:00:00,Away,2.60612,1.7456,2.60612,1.7456,7.03125,12.61111111111111,21,8,1,3,l,0,1.9494
2023,Bournemouth,2024-02-17 15:00:00,Away,2.08098,2.38425,2.08098,1.62308,7.0,6.529411764705882,3,9,2,2,d,1,1.1198000000000001
2023,Bournemouth,2024-02-24 17:30:00,Home,0.925889,1.79636,0.925889,1.79636,10.785714285714286,13.5,8,13,0,1,l,0,0.6524
2023,Bournemouth,2024-03-03 13:00:00,Away,1.43616,1.60461,1.43616,1.60461,13.541666666666666,4.352941176470588,6,9,2,0,w,3,1.2124000000000001
2023,Bournemouth,2024-03-09 15:00:00,Home,3.92657,1.91752,3.1654,1.91752,4.904761904761905,18.90909090909091,15,2,2,2,d,1,2.4797999999999996
2023,Bournemouth,2024-03-13 19:30:00,Home,2.84403,2.79419,2.84403,2.79419,7.95,9.125,7,1,4,3,w,3,1.3922
2023,Bournemouth,2024-03-30 15:00:00,Home,1.39268,0.93378,1.39268,0.93378,6.590909090909091,8.578947368421053,6,11,2,1,w,3,1.7694999999999999
2023,Bournemouth,2024-04-02 18:45:00,Home,1.30969,0.174389,1.30969,0.174389,8.538461538461538,8.285714285714286,4,6,1,0,w,3,2.3952
