Season,Team,Date,Venue,xG,xGA,npxG,npxGA,PPDA,PPDA_Allowed,DeepCompletions,DeepCompletionsAllowed,GoalsScored,GoalsConceded,Result,Points,ExpectedPoints
2018,Everton,2018-08-11 19:30:00,Away,0.715382,0.891038,0.715382,0.891038,15.6,25.333333333333332,2,4,2,2,d,1,1.1703999999999999
2018,Everton,2018-08-18 17:00:00,Home,2.02004,1.77471,2.02004,1.77471,5.074074074074074,9.818181818181818,4,7,2,1,w,3,1.564
2018,Everton,2018-08-25 17:00:00,Away,0.543665,2.5887,0.543665,1.82753,9.454545454545455,9.35,4,11,2,2,d,1,0.18460000000000001
2018,Everton,2018-09-01 14:00:00,Home,0.616013,0.660035,0.616013,0.660035,8.523809523809524,9.344827586206897,2,1,1,1,d,1,1.2222
2018,Everton,2018-09-16 15:00:00,Home,1.26774,1.52437,1.26774,1.52437,6.62962962962963,11.090909090909092,5,7,1,3,l,0,1.1214
2018,Everton,2018-09-23 15:00:00,Away,1.06523,0.930544,1.06523,0.930544,17.166666666666668,4.870967741935484,5,15,0,2,l,0,1.4826
2018,Everton,2018-09-29 14:00:00,Home,2.31538,0.536317,1.55432,0.536317,8.307692307692308,10.0,7,6,3,0,w,3,2.649
2018,Everton,2018-10-06 14:00:00,Away,1.14952,1.10472,1.14952,1.10472,13.15,12.470588235294118,6,2,2,1,w,3,1.3692
2018,Everton,2018-10-21 15:00:00,Home,1.92794,1.50174,1.92794,0.740567,8.8,8.866666666666667,10,5,2,0,w,3,1.6654
2018,Everton,2018-10-28 15:00:00,Away,1.67348,2.51393,0.912308,1.64513,10.72,8.851851851851851,6,5,1,2,l,0,0.7351
2018,Everton,2018-11-03 15:00:00,Home,2.59305,0.676348,2.59305,0.676348,6.357142857142857,11.0,10,0,3,1,w,3,2.6790999999999996
2018,Everton,2018-11-11 14:15:00,Away,0.198027,1.16298,0.198027,1.16298,17.24,6.84,0,7,0,0,d,1,0.4373
2018,Everton,2018-11-24 15:00:00,Home,2.48066,0.879108,2.48066,0.879108,4.5,20.142857142857142,5,1,1,0,w,3,2.515
2018,Everton,2018-12-02 16:15:00,Away,1.23014,3.07574,1.23014,3.07574,16.944444444444443,6.117647058823529,5,8,0,1,l,0,0.2555
2018,Everton,2018-12-05 19:45:00,Home,2.10943,1.52214,2.10943,1.52214,6.375,12.296296296296296,5,4,1,1,d,1,1.8094999999999999
2018,Everton,2018-12-10 20:00:00,Home,1.72686,1.63043,0.965692,1.63043,7.15,7.357142857142857,9,5,2,2,d,1,1.44
2018,Everton,2018-12-15 12:30:00,Away,1.6235,1.79848,1.6235,1.79848,24.176470588235293,8.666666666666666,4,6,1,3,l,0,1.2283
2018,Everton,2018-12-23 16:00:00,Home,1.00121,2.55514,1.00121,2.55514,14.892857142857142,10.65,3,5,2,6,l,0,0.3945000000000001
2018,Everton,2018-12-26 15:00:00,Away,1.8875,1.88646,1.12637,1.88646,12.625,10.043478260869565,6,3,5,1,w,3,1.3337
2018,Everton,2018-12-29 15:00:00,Away,0.655851,1.60311,0.655851,1.60311,13.0,9.23076923076923,5,4,0,1,l,0,0.5871
2018,Everton,2019-01-01 12:30:00,Home,0.871304,0.644144,0.871304,0.644144,5.645161290322581,14.722222222222221,10,2,0,1,l,0,1.5005
2018,Everton,2019-01-13 14:15:00,Home,1.7814,1.52828,1.7814,1.52828,6.107142857142857,11.11111111111111,6,8,2,0,w,3,1.5785
2018,Everton,2019-01-19 15:00:00,Away,1.31169,1.06009,1.31169,1.06009,7.5,8.0,9,4,1,2,l,0,1.5991
2018,Everton,2019-01-29 19:45:00,Away,1.05995,0.73078,1.05995,0.73078,10.035714285714286,9.80952380952381,3,2,1,0,w,3,1.6769
2018,Everton,2019-02-02 15:00:00,Home,1.36252,1.85729,1.36252,1.09612,7.095238095238095,12.416666666666666,6,2,1,3,l,0,0.9549000000000001
2018,Everton,2019-02-06 19:45:00,Home,0.111559,2.60922,0.111559,2.60922,15.65,8.0,4,15,0,2,l,0,0.0482
2018,Everton,2019-02-09 15:00:00,Away,0.641094,1.53311,0.641094,1.53311,5.681818181818182,6.27027027027027,3,7,0,1,l,0,0.5437000000000001
2018,Everton,2019-02-26 19:45:00,Away,1.14212,0.219359,1.14212,0.219359,4.888888888888889,8.34375,5,5,3,0,w,3,2.2285
2018,Everton,2019-03-03 16:15:00,Home,0.241879,0.811272,0.241879,0.811272,14.526315789473685,6.913043478260869,1,11,0,0,d,1,0.6653
2018,Everton,2019-03-09 15:00:00,Away,1.15114,2.37896,1.15114,1.61779,6.555555555555555,9.782608695652174,10,7,2,3,l,0,0.5185
2018,Everton,2019-03-17 16:30:00,Home,2.24031,1.24394,1.34105,1.24394,13.333333333333334,8.380952380952381,3,12,2,0,w,3,2.176
2018,Everton,2019-03-30 17:30:00,Away,2.65983,0.0891639,2.65983,0.0891639,7.5588235294117645,11.947368421052632,12,2,2,0,w,3,2.912
2018,Everton,2019-04-07 14:05:00,Home,2.69396,0.201885,2.69396,0.201885,9.709677419354838,11.1875,6,3,1,0,w,3,2.855
2018,Everton,2019-04-13 15:00:00,Away,1.29107,1.66303,1.29107,1.66303,5.388888888888889,12.761904761904763,7,6,0,2,l,0,1.0792000000000002
2018,Everton,2019-04-21 13:30:00,Home,1.5204,0.305982,1.5204,0.305982,16.6,24.11111111111111,1,5,4,0,w,3,2.4213999999999998
2018,Everton,2019-04-27 15:00:00,Away,1.15217,0.261344,1.15217,0.261344,4.892857142857143,12.727272727272727,8,5,0,0,d,1,2.1304
2018,Everton,2019-05-03 19:00:00,Home,1.76461,0.473292,1.76461,0.473292,7.384615384615385,13.5,7,3,2,0,w,3,2.4570999999999996
2018,Everton,2019-05-12 14:00:00,Away,2.06851,0.882608,2.06851,0.882608,14.625,14.61111111111111,7,5,2,2,d,1,2.3487
2018,Bournemouth,2018-08-11 17:00:00,Home,2.60022,1.50693,1.83905,1.50693,5.631578947368421,15.823529411764707,12,5,2,0,w,3,2.2423
2018,Bournemouth,2018-08-18 17:00:00,Away,1.69077,1.10275,1.69077,0.341659,15.411764705882353,6.769230769230769,10,9,2,1,w,3,1.8233000000000001
2018,Bournemouth,2018-08-25 17:00:00,Home,2.5887,0.543665,1.82753,0.543665,9.35,9.454545454545455,11,4,2,2,d,1,2.7217000000000002
2018,Bournemouth,2018-09-01 14:00:00,Away,0.950959,1.16408,0.950959,1.16408,21.235294117647058,8.214285714285714,3,15,0,2,l,0,1.2144000000000001
2018,Bournemouth,2018-09-15 14:00:00,Home,2.22726,1.82502,1.46609,1.06386,16.916666666666668,7.0,6,8,4,2,w,3,1.6923
2018,Bournemouth,2018-09-22 14:00:00,Away,0.976413,2.29417,0.976413,2.29417,17.333333333333332,10.3125,10,10,0,4,l,0,0.4392
2018,Bournemouth,2018-10-01 19:00:00,Home,1.97143,0.385841,1.21026,0.385841,15.05,13.0,4,11,2,1,w,3,2.6378999999999997
2018,Bournemouth,2018-10-06 14:00:00,Away,3.28471,1.06613,2.52354,1.06613,15.307692307692308,11.476190476190476,5,6,4,0,w,3,2.7695999999999996
2018,Bournemouth,2018-10-20 14:00:00,Home,0.840403,0.589633,0.840403,0.589633,14.0,9.962962962962964,4,4,0,0,d,1,1.588
2018,Bournemouth,2018-10-27 14:00:00,Away,2.10555,0.383833,1.34439,0.383833,31.8,16.176470588235293,12,1,3,0,w,3,2.6881999999999997
2018,Bournemouth,2018-11-03 12:30:00,Home,1.928,3.29249,1.928,3.29249,15.0625,9.681818181818182,14,15,1,2,l,0,0.5863
2018,Bournemouth,2018-11-10 15:00:00,Away,1.91687,2.57545,1.91687,2.57545,6.2727272727272725,15.210526315789474,5,4,1,2,l,0,0.9072
2018,Bournemouth,2018-11-25 13:30:00,Home,0.650884,1.71044,0.650884,1.71044,19.733333333333334,9.181818181818182,6,16,1,2,l,0,0.5408
2018,Bournemouth,2018-12-01 15:00:00,Away,0.715009,2.83557,0.715009,2.83557,67.42857142857143,6.208333333333333,6,10,1,3,l,0,0.16749999999999998
2018,Bournemouth,2018-12-04 19:45:00,Home,1.07393,1.5631,1.07393,1.5631,17.0625,4.933333333333334,3,9,2,1,w,3,1.0284
2018,Bournemouth,2018-12-08 12:30:00,Home,0.279142,1.80619,0.279142,1.80619,13.708333333333334,10.80952380952381,4,9,0,4,l,0,0.15610000000000002
