Season,Team,Date,Venue,xG,xGA,npxG,npxGA,PPDA,PPDA_Allowed,DeepCompletions,DeepCompletionsAllowed,GoalsScored,GoalsConceded,Result,Points,ExpectedPoints
2015,Aston Villa,2015-08-08 18:00:00,Away,0.782253,0.876106,0.782253,0.876106,11.846153846153847,6.9,2,11,1,0,w,3,1.2481
2015,Aston Villa,2015-08-14 22:45:00,Home,0.219118,0.660404,0.219118,0.660404,10.033333333333333,9.5,3,5,0,1,l,0,0.7821
2015,Aston Villa,2015-08-22 18:00:00,Away,0.765278,1.23807,0.765278,1.23807,8.476190476190476,8.166666666666666,6,9,1,2,l,0,0.9601
2015,Aston Villa,2015-08-29 18:00:00,Home,2.27406,0.368848,1.51289,0.368848,8.636363636363637,7.35,12,3,2,2,d,1,2.7246
2015,Aston Villa,2015-09-13 19:00:00,Away,0.953181,1.34987,0.953181,1.34987,8.409090909090908,7.151515151515151,5,11,2,3,l,0,1.0342
2015,Aston Villa,2015-09-19 18:00:00,Home,0.876719,0.632761,0.876719,0.632761,6.12,8.413793103448276,5,2,0,1,l,0,1.5584
2015,Aston Villa,2015-09-26 18:00:00,Away,0.892054,1.78331,0.892054,1.78331,26.416666666666668,7.413793103448276,2,11,2,3,l,0,0.7259
2015,Aston Villa,2015-10-03 18:00:00,Home,0.839028,1.03499,0.839028,1.03499,7.633333333333334,8.32258064516129,7,3,0,1,l,0,1.1661
2015,Aston Villa,2015-10-17 18:00:00,Away,0.795846,1.22875,0.795846,1.22875,9.761904761904763,5.409090909090909,2,6,0,2,l,0,0.9563
2015,Aston Villa,2015-10-24 18:00:00,Home,1.09516,1.74353,1.09516,1.74353,10.36,6.730769230769231,4,4,1,2,l,0,0.8114000000000001
2015,Aston Villa,2015-11-03 00:00:00,Away,0.325711,1.14374,0.325711,1.14374,14.333333333333334,5.961538461538462,1,7,1,3,l,0,0.6095999999999999
2015,Aston Villa,2015-11-08 17:30:00,Home,0.182741,1.53281,0.182741,1.53281,33.0,6.851851851851852,1,12,0,0,d,1,0.2445
2015,Aston Villa,2015-11-21 19:00:00,Away,0.322061,2.83068,0.322061,2.83068,17.208333333333332,11.285714285714286,2,6,0,4,l,0,0.0867
2015,Aston Villa,2015-11-28 19:00:00,Home,1.48969,1.45176,1.48969,1.45176,5.055555555555555,9.75,6,7,2,3,l,0,1.4017
2015,Aston Villa,2015-12-05 19:00:00,Away,1.058,2.86051,1.058,2.86051,24.166666666666668,7.363636363636363,2,8,1,1,d,1,0.3557
2015,Aston Villa,2015-12-13 17:30:00,Home,1.00876,1.68498,1.00876,0.923815,16.68421052631579,10.125,6,11,0,2,l,0,0.7763
2015,Aston Villa,2015-12-19 21:30:00,Away,0.404373,1.28189,0.404373,1.28189,5.758620689655173,10.857142857142858,2,6,1,1,d,1,0.5649
2015,Aston Villa,2015-12-26 19:00:00,Home,1.61235,0.836027,0.851178,0.836027,7.2272727272727275,8.884615384615385,7,1,1,1,d,1,2.0286
