Season,Team,Date,Venue,xG,xGA,npxG,npxGA,PPDA,PPDA_Allowed,DeepCompletions,DeepCompletionsAllowed,GoalsScored,GoalsConceded,Result,Points,ExpectedPoints
2022,Aston Villa,2022-08-06 14:00:00,Away,0.488895,0.588341,0.488895,0.588341,6.608695652173913,11.68,11,3,0,2,l,0,1.1566999999999998
2022,Aston Villa,2022-08-13 11:30:00,Home,2.66696,1.37507,2.66696,1.37507,9.304347826086957,18.615384615384617,13,4,2,1,w,3,2.3254
2022,Aston Villa,2022-08-20 14:00:00,Away,0.803828,2.91137,0.803828,2.00662,7.411764705882353,13.944444444444445,3,8,1,3,l,0,0.2122
2022,Aston Villa,2022-08-28 13:00:00,Home,0.304555,0.334589,0.304555,0.334589,13.5,17.55,4,3,0,1,l,0,1.1528
2022,Aston Villa,2022-08-31 18:30:00,Away,0.297168,2.79971,0.297168,2.79971,14.631578947368421,9.882352941176471,3,18,1,2,l,0,0.08940000000000001
2022,Aston Villa,2022-09-03 16:30:00,Home,0.279392,1.92143,0.279392,1.92143,43.90909090909091,13.545454545454545,2,12,1,1,d,1,0.2217
2022,Aston Villa,2022-09-16 19:00:00,Home,1.34365,0.218302,1.34365,0.218302,5.948717948717949,8.04,6,2,1,0,w,3,2.4747
2022,Aston Villa,2022-10-02 15:30:00,Away,1.89645,0.298626,1.89645,0.298626,9.583333333333334,13.333333333333334,12,6,0,0,d,1,2.6060000000000003
2022,Aston Villa,2022-10-10 19:00:00,Away,0.657187,0.221346,0.657187,0.221346,7.136363636363637,25.272727272727273,9,0,1,1,d,1,1.7468
2022,Aston Villa,2022-10-16 13:00:00,Home,2.44542,1.23643,2.44542,1.23643,14.037037037037036,13.533333333333333,6,5,0,2,l,0,2.2306
2022,Aston Villa,2022-10-20 18:30:00,Away,0.711487,2.892,0.711487,2.13083,18.6,11.266666666666667,2,8,0,3,l,0,0.1854
2022,Aston Villa,2022-10-23 13:00:00,Home,3.45617,1.00462,2.695,1.00462,7.172413793103448,7.363636363636363,9,3,4,0,w,3,2.8011
2022,Aston Villa,2022-10-29 14:00:00,Away,0.270814,4.18808,0.270814,3.42692,17.5,10.722222222222221,2,15,0,4,l,0,0.011300000000000001
2022,Aston Villa,2022-11-06 14:00:00,Home,0.578563,0.517189,0.578563,0.517189,18.0,10.956521739130435,5,10,3,1,w,3,1.3351
2022,Aston Villa,2022-11-13 14:00:00,Away,1.15437,0.829107,0.393198,0.829107,16.38888888888889,4.96875,6,7,2,1,w,3,1.6934
2022,Aston Villa,2022-12-26 17:30:00,Home,1.69155,3.50694,1.69155,3.50694,30.0,12.318181818181818,5,8,1,3,l,0,0.4063
2022,Aston Villa,2023-01-01 14:00:00,Away,1.21733,0.569383,1.21733,0.569383,17.27777777777778,10.272727272727273,7,6,2,0,w,3,1.9871
2022,Aston Villa,2023-01-04 20:00:00,Home,1.03226,0.832522,1.03226,0.832522,18.692307692307693,13.7,4,2,1,1,d,1,1.5178999999999998
2022,Aston Villa,2023-01-13 20:00:00,Home,1.64599,2.46295,1.64599,2.46295,7.45,6.219512195121951,5,1,2,1,w,3,0.8034999999999999
2022,Aston Villa,2023-01-21 15:00:00,Away,1.16432,0.672444,1.16432,0.672444,7.571428571428571,12.035714285714286,8,4,1,0,w,3,1.7348
2022,Aston Villa,2023-02-04 15:00:00,Home,1.4989,2.49784,1.4989,2.49784,7.72,13.333333333333334,15,5,2,4,l,0,0.6897
2022,Aston Villa,2023-02-12 16:30:00,Away,0.275348,3.60987,0.275348,2.8487,23.6,8.090909090909092,4,7,1,3,l,0,0.028499999999999998
2022,Aston Villa,2023-02-18 12:30:00,Home,0.335752,2.85981,0.335752,2.85981,14.68421052631579,9.157894736842104,2,14,2,4,l,0,0.1094
2022,Aston Villa,2023-02-25 15:00:00,Away,2.06037,1.54109,1.2992,1.54109,11.0,7.105263157894737,5,9,2,0,w,3,1.7866
2022,Aston Villa,2023-03-04 15:00:00,Home,0.890605,0.152761,0.890605,0.152761,8.576923076923077,9.405405405405405,8,0,1,0,w,3,2.0777
2022,Aston Villa,2023-03-12 14:00:00,Away,1.99139,2.14634,1.99139,1.38517,23.0,12.37037037037037,10,3,1,1,d,1,1.2802
2022,Aston Villa,2023-03-18 15:00:00,Home,3.45474,0.50014,3.45474,0.50014,8.24,7.771428571428571,16,5,3,0,w,3,2.8841
2022,Aston Villa,2023-04-01 16:30:00,Away,0.765794,2.38024,0.765794,2.38024,12.291666666666666,4.542857142857143,2,19,2,0,w,3,0.3856
2022,Aston Villa,2023-04-04 18:45:00,Away,1.00159,0.671597,1.00159,0.671597,10.4,10.222222222222221,11,2,2,1,w,3,1.6521
2022,Aston Villa,2023-04-08 14:00:00,Home,1.42718,0.232452,1.42718,0.232452,6.052631578947368,12.391304347826088,8,1,2,0,w,3,2.4333
2022,Aston Villa,2023-04-15 11:30:00,Home,1.91802,0.425086,1.91802,0.425086,6.962962962962963,5.7631578947368425,12,6,3,0,w,3,2.5232
2022,Aston Villa,2023-04-22 14:00:00,Away,1.66602,2.03162,1.66602,2.03162,8.3125,9.23076923076923,4,7,1,1,d,1,1.1498000000000002
2022,Aston Villa,2023-04-25 18:45:00,Home,0.839159,0.079864,0.839159,0.079864,15.3125,8.125,7,1,1,0,w,3,2.0634
2022,Aston Villa,2023-04-30 13:00:00,Away,0.434738,1.3056,0.434738,1.3056,23.642857142857142,9.56,4,12,0,1,l,0,0.6027
2022,Aston Villa,2023-05-06 14:00:00,Away,1.50158,0.80605,1.50158,0.80605,7.142857142857143,8.357142857142858,7,2,0,1,l,0,1.9155000000000002
2022,Aston Villa,2023-05-13 14:00:00,Home,1.79987,1.18505,1.79987,0.423878,10.423076923076923,8.875,10,6,2,1,w,3,1.8896000000000002
2022,Aston Villa,2023-05-20 14:00:00,Away,1.46948,0.918508,0.708313,0.918508,12.681818181818182,3.0789473684210527,2,10,1,1,d,1,1.8779
2022,Aston Villa,2023-05-28 15:30:00,Home,2.55845,1.23117,2.55845,1.23117,8.32258064516129,5.909090909090909,9,3,2,1,w,3,2.3253
2022,Everton,2022-08-06 16:30:00,Home,0.541983,1.92315,0.541983,1.16198,12.0,6.1923076923076925,3,7,0,1,l,0,0.3517
2022,Everton,2022-08-13 11:30:00,Away,1.37507,2.66696,1.37507,2.66696,18.615384615384617,9.304347826086957,4,13,1,2,l,0,0.4885
2022,Everton,2022-08-20 14:00:00,Home,1.43408,0.918315,1.43408,0.918315,18.615384615384617,15.785714285714286,8,1,1,1,d,1,1.7744
