Season,Team,Date,Venue,xG,xGA,npxG,npxGA,PPDA,PPDA_Allowed,DeepCompletions,DeepCompletionsAllowed,GoalsScored,GoalsConceded,Result,Points,ExpectedPoints
2014,Aston Villa,2014-08-16 15:00:00,Away,0.909774,0.423368,0.909774,0.423368,14.043478260869565,4.125,4,3,1,0,w,3,1.8321999999999998
2014,Aston Villa,2014-08-23 12:45:00,Home,0.507525,0.699295,0.507525,0.699295,15.523809523809524,8.571428571428571,4,7,0,0,d,1,1.1057
2014,Aston Villa,2014-08-31 13:30:00,Home,0.639316,0.28888,0.639316,0.28888,28.153846153846153,11.583333333333334,6,7,2,1,w,3,1.6075
2014,Aston Villa,2014-09-13 17:30:00,Away,0.701676,0.728097,0.701676,0.728097,54.0,6.5,1,5,1,0,w,3,1.3252
2014,Aston Villa,2014-09-20 15:00:00,Home,0.649013,1.36224,0.649013,1.36224,44.25,7.7272727272727275,0,7,0,3,l,0,0.6912
2014,Aston Villa,2014-09-27 15:00:00,Away,0.228896,3.14218,0.228896,3.14218,49.375,18.2,2,6,0,3,l,0,0.0219
2014,Aston Villa,2014-10-04 17:30:00,Home,0.690283,2.30634,0.690283,2.30634,25.789473684210527,7.769230769230769,1,12,0,2,l,0,0.39339999999999997
2014,Aston Villa,2014-10-18 15:00:00,Away,0.37205,1.67016,0.37205,1.67016,17.25,16.083333333333332,6,7,0,3,l,0,0.34140000000000004
2014,Aston Villa,2014-10-27 20:00:00,Away,1.18709,0.81667,1.18709,0.81667,5.590909090909091,13.6,6,3,0,2,l,0,1.6813
2014,Aston Villa,2014-11-02 16:00:00,Home,0.872267,2.54173,0.872267,2.54173,14.368421052631579,8.055555555555555,3,11,1,2,l,0,0.3639
2014,Aston Villa,2014-11-08 15:00:00,Away,0.560875,1.47873,0.560875,1.47873,14.176470588235293,7.523809523809524,2,15,0,0,d,1,0.6379
2014,Aston Villa,2014-11-24 20:00:00,Home,1.13228,0.863156,1.13228,0.863156,20.857142857142858,6.2,3,14,1,1,d,1,1.6318000000000001
2014,Aston Villa,2014-11-29 15:00:00,Away,1.0873,2.3058,1.0873,1.54463,23.09090909090909,10.52,11,7,1,1,d,1,0.5442
2014,Aston Villa,2014-12-02 20:00:00,Away,0.192439,0.801741,0.192439,0.801741,6.611111111111111,6.027027027027027,2,6,1,0,w,3,0.6592
2014,Aston Villa,2014-12-07 16:00:00,Home,1.97697,1.0083,1.97697,1.0083,6.428571428571429,9.342857142857143,7,6,2,1,w,3,2.0575
2014,Aston Villa,2014-12-13 15:00:00,Away,0.266303,1.4373,0.266303,1.4373,15.538461538461538,8.235294117647058,4,3,0,1,l,0,0.3204
