iter	MultiClass
240	0.6736691213
241	0.6727428399
242	0.6715280103
243	0.6705621953
244	0.6697798022
245	0.6694300874
246	0.668176776
247	0.6672128819
248	0.666352771
249	0.6657108915
250	0.6647782216
251	0.6635686054
252	0.6625426855
253	0.6619005154
254	0.6612893281
255	0.6604513306
256	0.6600518428
257	0.6593974489
258	0.6590639985
259	0.6580569007
260	0.6567267254
261	0.6560300186
262	0.6550928627
263	0.6542946655
264	0.6534715853
265	0.6524522791
266	0.6513922762
267	0.6502381651
268	0.6497003176
269	0.6486912402
270	0.6480466793
271	0.6465538125
272	0.645793686
273	0.64469313
274	0.6436910524
275	0.6429622578
276	0.6423098775
277	0.6413473835
278	0.6400179989
279	0.6391400331
280	0.6382165351
281	0.637488608
282	0.6367039993
283	0.6356618438
284	0.6347385587
285	0.6339049626
286	0.6325452216
287	0.6317705783
288	0.6307562249
289	0.6291850002
290	0.6284117741
291	0.627454866
292	0.6266976985
293	0.6258360745
294	0.6252508355
295	0.6246075686
296	0.6242589347
297	0.6228513222
298	0.6217001466
299	0.6203376906
300	0.6199427295
301	0.6190328503
302	0.6180541931
303	0.6175832394
304	0.6167307609
305	0.6162010318
306	0.6154723068
307	0.6147058828
308	0.6140153312
309	0.6128100991
310	0.6120255318
311	0.6112157137
312	0.6105773227
313	0.61004516
314	0.6096366019
315	0.6087213072
316	0.607861859
317	0.6073672305
318	0.6066540423
319	0.6064924863
320	0.6054314241
321	0.6042433683
322	0.6031151433
323	0.6029497779
324	0.6017067186
325	0.6010671225
326	0.6001939972
327	0.5998137662
328	0.5986716259
329	0.597888565
330	0.5967733266
331	0.5960740625
332	0.5955248038
333	0.594877954
334	0.594135336
335	0.5933486142
336	0.5926000283
337	0.5918942465
338	0.5912443624
339	0.5904808503
340	0.5894423943
341	0.5885411105
342	0.5873664469
343	0.5866243915
344	0.5854781338
345	0.5847971874
346	0.584287791
347	0.5837314378
348	0.5829084875
349	0.5822629393
350	0.5812042108
351	0.580266703
352	0.5796796881
353	0.5788566236
354	0.5779533195
355	0.5770810918
356	0.5765216274
357	0.5759202158
358	0.5750276185
359	0.5743424006
360	0.5735796301
361	0.5729363058
362	0.5722583681
363	0.5713575784
364	0.5705927773
365	0.569944234
366	0.568909443
367	0.5683566619
368	0.567678813
369	0.5674329519
370	0.567008806
371	0.5663111242
372	0.5653946946
373	0.5648291244
374	0.563753846
375	0.5629641594
376	0.5621440966
377	0.5619413552
378	0.5615970524
379	0.5610079655
380	0.5598347194
381	0.5595293931
382	0.5583283696
383	0.557845102
384	0.5572974221
385	0.5567290352
386	0.5559738359
387	0.5552400165
388	0.5544361779
389	0.5538990472
390	0.5532545997
391	0.5528616828
392	0.5518228149
393	0.5509795049
394	0.5502348153
395	0.5496919292
396	0.5492624421
397	0.5486195406
398	0.5475925802
399	0.5469894796
400	0.5463064542
401	0.5458547367
402	0.5452039026
403	0.5442850592
404	0.5438206894
405	0.5432029496
406	0.5423810935
407	0.541713156
408	0.5409399035
409	0.5405316599
410	0.5403636651
411	0.5394764421
412	0.5390489061
413	0.5380136412
414	0.5373128485
415	0.5369890862
416	0.5363747969
417	0.5357695451
418	0.5353115361
419	0.5347010839
420	0.5338287832
421	0.533026531
422	0.5322467816
423	0.5314631182
424	0.5308804467
425	0.5301449
426	0.5295676771
427	0.5285952419
428	0.5276789178
429	0.5271937698
430	0.5265506969
431	0.5260203441
432	0.5248327788
433	0.5242831774
434	0.5239015378
435	0.5233434788
436	0.522646336
437	0.5219047937
438	0.5208445102
439	0.5200890269
440	0.5193441783
441	0.5187358959
442	0.518227425
443	0.5174960851
444	0.5166885606
445	0.5157532214
446	0.5153207627
447	0.5145930713
448	0.5139773154
449	0.5135841509
450	0.5126439294
451	0.5119034076
452	0.5111733908
453	0.5105647906
454	0.510071269
455	0.5091116956
456	0.5085190237
457	0.5077519723
458	0.5073085352
459	0.5067409714
460	0.5059827476
461	0.5050552284
462	0.5045476591
463	0.5037754204
464	0.5034372384
465	0.5030951549
466	0.5021895433
467	0.5014808897
468	0.5008000625
469	0.5004051257
470	0.4996468683
471	0.4995145302
472	0.498571562
473	0.4981633903
474	0.4974579288
475	0.4969262736
476	0.4959261679
477	0.4950360357
478	0.4944503705
479	0.4939601557
480	0.4932623923
481	0.4931268858
482	0.4925149522
483	0.492125413
484	0.4915217874
485	0.4911146963
486	0.4903204432
487	0.4898713943
488	0.4894836451
489	0.488860694
490	0.4884932722
491	0.487597346
492	0.4866926002
493	0.4861819259
494	0.4857093576
495	0.4854215374
496	0.4844114647
497	0.4837830687
498	0.4832264808
499	0.4823796323
500	0.4820433905
501	0.481299186
502	0.4806769761
503	0.4799482832
504	0.4791753733
505	0.4786484508
506	0.4782386224
507	0.477864232
508	0.4775385951
509	0.476957109
510	0.476550331
511	0.4758823072
512	0.4753282135
513	0.4747789142
514	0.4742853357
515	0.4737107721
516	0.4734720132
517	0.473042181
518	0.4721079565
519	0.4716913156
520	0.471305296
521	0.4706301591
522	0.4701341298
523	0.4695657908
524	0.4690570664
525	0.4687339869
526	0.4681520353
527	0.467663694
528	0.4668980795
529	0.4666492907
530	0.4661609288
531	0.4656611648
532	0.4651761286
533	0.4648225108
534	0.4643433363
535	0.4636336766
536	0.4629788209
537	0.4627021175
538	0.4622004722
539	0.4614753971
540	0.4612486978
541	0.4605943257
542	0.4603667563
543	0.4599682591
544	0.4595431906
545	0.4588254478
546	0.4584858413
547	0.457996759
548	0.4572127288
549	0.4568828509
550	0.4564724626
551	0.4558895751
552	0.4551184569
553	0.4546100276
554	0.454147358
555	0.4537326284
556	0.4531334987
557	0.452493541
558	0.4519035572
559	0.4514730998
560	0.4509216584
561	0.4506432689
562	0.4502729568
563	0.449836438
564	0.4490678462
565	0.4486073434
566	0.4480327374
567	0.4469999365
568	0.4465495315
569	0.4459519481
570	0.4455006536
571	0.4448779033
572	0.4443103186
573	0.4440247315
574	0.4433795685
575	0.4426348633
576	0.4423451866
577	0.4417622333
578	0.441300433
579	0.441157117
580	0.4407061169
581	0.4402910856
582	0.4392833453
583	0.4384990041
584	0.4377555597
585	0.4374169824
586	0.4371418524
587	0.4367336275
588	0.4360263222
589	0.4352984082
590	0.4347916058
591	0.4344664199
592	0.4341706083
593	0.4338975706
594	0.4334683857
595	0.4332767334
596	0.4327598925
597	0.4325490503
598	0.4319122612
599	0.4314656486
600	0.4311321001
601	0.4306852813
602	0.429913696
603	0.42922644
604	0.4289882928
605	0.428723127
606	0.4278611654
607	0.4271301202
608	0.4264644448
609	0.426132057
610	0.4255442069
611	0.4250677306
612	0.424528769
613	0.423982725
614	0.4231354987
615	0.4227728357
616	0.4223130632
617	0.4218010787
618	0.4213678779
619	0.4210494641
620	0.4204928113
621	0.4199301425
622	0.4192755325
623	0.4188715296
624	0.41840975
625	0.4178024363
626	0.4170028401
627	0.4163658074
628	0.4159937421
629	0.4158130619
630	0.4155294978
631	0.4151375755
632	0.4147658551
633	0.4145114896
634	0.4139776283
635	0.413363379
636	0.4130732234
637	0.4125158882
638	0.4121668914
639	0.4114206322
640	0.4109482589
641	0.4106775045
642	0.410227533
643	0.4098871148
644	0.4096961897
645	0.4092641875
646	0.408879063
647	0.4086101078
648	0.4083534273
649	0.407855308
650	0.4073067178
651	0.4068839897
652	0.4063959579
653	0.4058264053
654	0.4051716796
655	0.4045464135
656	0.4043199611
657	0.4037668873
658	0.4031845549
659	0.4027105772
660	0.4023418337
661	0.4019740741
662	0.4015896418
663	0.4011427925
664	0.4008269607
665	0.4004158855
666	0.4000913843
667	0.3998996304
668	0.3990535947
669	0.3985747311
670	0.3982012958
671	0.3979048083
672	0.3973340821
673	0.3970573533
674	0.3965057284
675	0.3961027209
676	0.3957149101
677	0.3953401225
678	0.3947250357
679	0.3943114356
680	0.3937969068
681	0.3930376164
682	0.3925015535
683	0.3916794858
684	0.3910352031
685	0.3907289112
686	0.390194637
687	0.3899552048
688	0.3896343169
689	0.3891413353
690	0.3886584212
691	0.3881528886
692	0.3874075163
693	0.3871572671
694	0.3869469772
695	0.3866046304
696	0.3861381375
697	0.3855381712
698	0.3846979412
699	0.3842918214
700	0.3840511467
701	0.3834836123
702	0.3829088115
703	0.3826501652
704	0.3822278148
705	0.3817976962
706	0.3815291246
707	0.380479852
708	0.3799684813
709	0.3793517745
710	0.378851554
711	0.378366573
712	0.3778879035
713	0.3775172735
714	0.3771484192
715	0.3768130591
716	0.3761094497
717	0.3755199353
718	0.375284214
719	0.3751093106
720	0.3747709434
721	0.3746213875
722	0.3743524022
723	0.3737804242
724	0.3734969284
725	0.37320319
726	0.3726901938
727	0.3724618178
728	0.3718909301
729	0.3713906858
730	0.3707451296
731	0.3705150626
732	0.3701974096
733	0.3697115483
734	0.3694785137
735	0.3687666212
736	0.3684839847
737	0.3680629589
738	0.3678972781
739	0.3675634176
740	0.3673121386
741	0.3668935246
742	0.3666570244
743	0.3658459214
744	0.3657189984
745	0.3654391557
746	0.3652581067
747	0.3648800111
748	0.3647222284
749	0.3644117644
750	0.3638129909
751	0.363298241
752	0.362787318
753	0.3623318761
754	0.3621724853
755	0.3620171593
756	0.3617366743
757	0.3611861883
758	0.3606384478
759	0.3602600493
760	0.3599762031
761	0.3597652609
762	0.3591355807
763	0.3587716449
764	0.3581924991
765	0.3578835633
766	0.3575314546
767	0.3571699589
768	0.3567302709
769	0.3565206066
770	0.3562814218
771	0.3559415144
772	0.3555474902
773	0.3550163759
774	0.3546037234
775	0.3541672294
776	0.3539693922
777	0.353615031
778	0.3533095042
779	0.352865635
780	0.3523672009
781	0.3520565241
782	0.3516563119
783	0.3511875654
784	0.3509519
785	0.3507789865
786	0.3505486329
787	0.3502388523
788	0.3499472967
789	0.3493333493
790	0.3489588317
791	0.348756836
792	0.348231187
793	0.3480278384
794	0.3478021555
795	0.3474258173
796	0.3468791538
797	0.3467555544
798	0.3464087819
799	0.3460767793
800	0.3457020378
801	0.3452225123
802	0.3449665247
803	0.3446047072
804	0.3441178287
805	0.3437161721
806	0.3432723359
807	0.3428485421
808	0.3424622206
809	0.3417624621
810	0.3414497737
811	0.3411215753
812	0.3406827719
813	0.340244077
814	0.3396743838
815	0.3392290837
816	0.3389202738
817	0.3386664661
818	0.3383051875
819	0.3381346947
820	0.3376903164
821	0.3373516308
822	0.3371406965
823	0.3365141867
824	0.3360368238
825	0.3357790771
826	0.3354323727
827	0.3351329944
828	0.3347664614
829	0.3344561966
830	0.334087464
831	0.3336026787
832	0.3333464234
833	0.3330457746
834	0.3327761985
835	0.332511483
836	0.3321744928
837	0.3317153539
838	0.33145113
839	0.3310912549
840	0.3307177871
841	0.3303639601
842	0.3301982863
843	0.3298331085
844	0.3294673918
845	0.3291933587
846	0.3288521724
847	0.3285033381
848	0.3283293857
849	0.328068901
850	0.3278257757
851	0.3274040728
852	0.3269244931
853	0.3265288279
854	0.3262403148
855	0.325872224
856	0.3257589663
857	0.3252755525
858	0.3251056979
859	0.3248918263
860	0.3246078786
861	0.3241646821
862	0.3239616003
863	0.3232945254
864	0.3226431588
865	0.3223824924
866	0.3220208372
867	0.3215874486
868	0.3213104359
869	0.3208966561
870	0.3205404048
871	0.3201890954
872	0.3199509428
873	0.3195252894
874	0.3193607707
875	0.3191874393
876	0.3185306828
877	0.3182619802
878	0.3179499495
879	0.3176775042
880	0.3174535443
881	0.3172875069
882	0.3169978806
883	0.3166519228
884	0.316111301
885	0.3158682227
886	0.3156555676
887	0.3151770436
888	0.3147715525
889	0.3144088469
890	0.3140488792
891	0.3138391967
892	0.3133294984
893	0.313110014
894	0.3128155057
895	0.3124691078
896	0.3122750518
897	0.3121653323
898	0.3118554789
899	0.3116013999
900	0.3113783144
901	0.3112071572
902	0.3106684791
903	0.3103695945
904	0.3101468445
905	0.3097531539
906	0.3092902736
907	0.3091845084
908	0.3090075324
909	0.3085114556
910	0.3082608885
911	0.308034521
912	0.3075702315
913	0.3075098267
914	0.3068841502
915	0.3065114382
916	0.30601626
917	0.3057397018
918	0.3052117474
919	0.304946235
920	0.3045231982
921	0.3041096195
922	0.3035490941
923	0.3032751336
924	0.3030101563
925	0.3025221234
926	0.3021430505
927	0.3019421498
928	0.3017277232
929	0.3014268534
930	0.3011307582
931	0.3009675062
932	0.3007939377
933	0.3005348235
934	0.3003591438
935	0.3001689191
936	0.2996070146
937	0.2992931883
938	0.2988989193
939	0.2985925967
940	0.2983910692
941	0.2981460515
942	0.2978454405
943	0.2974767429
944	0.2972480386
945	0.2969943075
946	0.2965214924
947	0.2963649185
948	0.2960988465
949	0.2957615398
950	0.2953686708
951	0.2951647831
952	0.2950022503
953	0.2943694531
954	0.2937921273
955	0.2934504431
956	0.2931766214
957	0.2928958563
958	0.2927304072
959	0.2924322807
960	0.2921182589
961	0.2918168832
962	0.2915563517
963	0.2912209011
964	0.2910782446
965	0.2908852821
966	0.2906804506
967	0.2905041165
968	0.2902551238
969	0.2899742419
970	0.2896283413
971	0.2893242788
972	0.288972974
973	0.288739478
974	0.2884448072
975	0.2880106903
976	0.2876486906
977	0.2873458551
978	0.2870326133
979	0.2867586578
980	0.286593093
981	0.2861533977
982	0.2856605453
983	0.285407982
984	0.2851352248
985	0.2848277433
986	0.2845503123
987	0.2843597915
988	0.2842506737
989	0.2840617409
990	0.2838150169
991	0.2835841519
992	0.2834983989
993	0.2831661744
994	0.2829438934
995	0.2827242284
996	0.2824088918
997	0.2821139078
998	0.2818629182
999	0.2817318701
